, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
, $14.00 ,aciete tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel azul , $10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe, $75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2024, $10.00 ,ST POW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $13.00 ,POMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,beard, $13.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2024, $45.00 ,kit blumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $121.00 ,, $113.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $69.00 ,TAHE, $90.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $52.00 ,FELIX , $23.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2024, $10.00 ,GEL AZUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2024, $10.00 ,POLVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GEL AZUL, $16.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
